ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R593,Outside Delhi-NCR,24,2,Average,Smartphone,1,1,7,4,6,0,3,Remain Constant,0,Football,1,1,School/college,,,
R594,Outside Delhi-NCR,46,2,Very poor,Smartphone,0.5,0.25,7,1,7,1,3,Remain Constant,0,Cooking,0,0,Travelling,,,
R595,Delhi-NCR,16,5,Good,Laptop/Desktop,8,0.5,6,0.4,6,0,3,Remain Constant,0,Online gaming,1,0,Colleagues,,,
R596,Delhi-NCR,25,2,Good,Laptop/Desktop,3,0,7,2,1,3,2,Remain Constant,0,Talking,1,1,Eating outside,,,
R597,Delhi-NCR,24,6,Good,Laptop/Desktop,8,0,9,2,5,0,3,Decreased,1,Reading,1,1,Colleagues,,,
R598,Delhi-NCR,17,4,Very poor,Smartphone,2,0,10,3,3,4,2,Remain Constant,0,Online surfing,1,1,School/college,,,
R599,Delhi-NCR,16,1,Average,Smartphone,2,0,10,2,5,3,4,Remain Constant,0,Online gaming,0,1,School/college,,,
R600,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,1,8,3,6,1,4,Increased,0,Online surfing,1,1,School/college,,,
R601,Delhi-NCR,40,5,Very poor,Laptop/Desktop,3,0,6,3,7,0,3,Increased,1,Sleeping,1,1,Being social ,,,
R602,Outside Delhi-NCR,32,1,Average,Laptop/Desktop,2,0.5,7,3,7,0,3,Increased,1,Scrolling through social media,0,1,Roaming around freely,,,
R603,Outside Delhi-NCR,14,5,Average,Smartphone,2,0,9,1,7,2,2,Remain Constant,0,Online gaming,1,1,School/college,,,
R604,Delhi-NCR,18,4,Average,Laptop/Desktop,2,3,7,4,6,1,2,Decreased,0,Online surfing,0,0,School/college,,,
R605,Delhi-NCR,52,0,Good,Laptop/Desktop,2,1,8,2,5,0,4,Remain Constant,0,Reading,1,1,Colleagues,,,
R606,Delhi-NCR,21,1,Very poor,Laptop/Desktop,8,0,8,2,5,2,2,Decreased,1,Scrolling through social media,1,0,"Friends , relatives",,,
R608,Delhi-NCR,21,6,Very poor,Laptop/Desktop,3,0,8,4,1,1,3,Increased,1,Listening to music,0,0,Eating outside,,,
R609,Delhi-NCR,21,4,Average,Laptop/Desktop,3,0,8,2,7,1,3,Decreased,0,Scrolling through social media,0,0,"Friends , relatives",,,
R610,Delhi-NCR,22,1,Very poor,Laptop/Desktop,10,2,7,1,7,0,3,Remain Constant,0,Writing,1,1,Roaming around freely,,,
R611,Delhi-NCR,19,0,Very poor,Smartphone,4,0,8,4,6,0,1,Increased,0,Reading books,0,0,"Friends , relatives",,,
R612,Outside Delhi-NCR,14,4,Good,Smartphone,1,1,8,1,3,0.5,2,Increased,0,Social Media,1,0,Colleagues,,,
R613,Delhi-NCR,18,1,Average,Smartphone,2,0,7,1,7,0,3,Decreased,1,Cooking,0,1,School/college,,,
R614,Delhi-NCR,17,2,Excellent,Smartphone,3,2,10,1,5,1,2,Increased,0,Watching web series,1,1,"Friends , relatives",,,
R615,Delhi-NCR,21,2,Average,Laptop/Desktop,0,0,7,5,5,0,3,Decreased,0,Online gaming,0,1,Travelling,,,
R616,Delhi-NCR,22,2,Very poor,Laptop/Desktop,2,0,6,5,6,0,2,Increased,0,Online surfing,1,1,School/college,,,
R617,Outside Delhi-NCR,15,3,Very poor,Smartphone,2,0,10,1,5,2,2,Increased,0,Online surfing,0,1,School/college,,,
R618,Delhi-NCR,25,6,Good,Laptop/Desktop,0,1,7,3,6,0,2,Increased,0,Web Series,0,1,Colleagues,,,
R619,Outside Delhi-NCR,17,2,Excellent,Smartphone,3,1,8,1,3,2,1,Increased,0,Sleeping,1,1,School/college,,,
R620,Outside Delhi-NCR,25,1,Average,Laptop/Desktop,4,0.5,9,2,7,5,3,Increased,0,Online surfing,0,1,School/college,,,
R621,Delhi-NCR,22,1,Very poor,Smartphone,0,0,6,2,6,2,3,Increased,1,Watching web series,0,0,School/college,,,
R622,Outside Delhi-NCR,21,0,Very poor,Smartphone,3,0,8,4,6,1,3,Remain Constant,1,Scrolling through social media,0,1,"Friends , relatives",,,
R623,Outside Delhi-NCR,20,1,Good,Laptop/Desktop,3,1,12,3,5,2,4,Remain Constant,0,Reading,1,1,School/college,,,
R624,Outside Delhi-NCR,21,2,Good,Smartphone,5,0,12,3,5, ,4,Remain Constant,0,Listening to music,0,0,Travelling,,,
R625,Delhi-NCR,13,3.5,Good,Smartphone,2,2,9,1,7,6,1,Increased,1,Listening to music,1,1,Colleagues,,,
R626,Delhi-NCR,32,6,Good,Laptop/Desktop,2,1,5,2,5,2,2,Increased,0,Dancing,1,1,Travelling,,,
R627,Delhi-NCR,34,2,Average,Laptop/Desktop,2,1,7,4,3,2,2,Remain Constant,0,Cooking,0,0,"Friends , relatives",,,
R628,Delhi-NCR,22,0,Very poor,Smartphone,1,0,8,5,7,1.5,3,Remain Constant,0,Reading books,0,0,Roaming around freely,,,
R629,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,4,1,6,1,1,1,3,Remain Constant,1,Meditation,1,0,School/college,,,
R630,Delhi-NCR,17,1,Good,Smartphone,1,1,8,2,6,1,3,Increased,0,Web Series,0,1,School/college,,,
R631,Delhi-NCR,13,4,Excellent,Smartphone,5,1,13,2,7,3,2,Decreased,1,Reading books,1,1,"Friends , relatives",,,
R632,Delhi-NCR,30,4,Average,Laptop/Desktop,3,1,7,1,5,1,3,Remain Constant,0,singing,0,0,School/college,,,
R633,Delhi-NCR,21,2,Average,Smartphone,1,1,9,2,5,2,3,Remain Constant,0,Watching web series,0,1,School/college,,,
R634,Outside Delhi-NCR,28,3,Good,Laptop/Desktop,4,1,9,2,5,0,3,Remain Constant,0,Listening to music,1,1,Travelling,,,
R635,Delhi-NCR,21,4,Very poor,Laptop/Desktop,3,0,6,2,6,0,2,Remain Constant,0,Online gaming,0,0,Eating outside,,,
R636,Outside Delhi-NCR,15,2,Excellent,Smartphone,5,3,11,1,7,1,4,Increased,0,Reading books,0,1,School/college,,,
R637,Delhi-NCR,16,1,Good,Smartphone,1,1,7,2,5,2,2,Remain Constant,0,Online gaming,1,1,School/college,,,
R638,Delhi-NCR,40,3,Average,Smartphone,1,0.5,7,4,6,1,3,Remain Constant,0,Talking to your relatives,1,1,Travelling,,,
R639,Delhi-NCR,43,2,Good,Laptop/Desktop,2,1,7,1,7,1,2,Remain Constant,0,Sleeping,1,1,Travelling,,,
R640,Delhi-NCR,25,1,Average,Smartphone,2,0,10,1,7,1,3,Increased,0,Cooking,0,1,School/college,,,
R641,Outside Delhi-NCR,24,0,NA,NA,1,0,8,2,1,1,3,Increased,0,Scrolling through social media,0,0,Previous mistakes,,,
R642,Outside Delhi-NCR,16,2,Good,NA,5,1,9,1,6,1,1,Decreased,0,Reading,1,0,School/college,,,
R643,Delhi-NCR,16,0.8,Very poor,NA,1,0,8,1,5,1,3,Remain Constant,0,Listening to music,0,1,School/college,,,
R644,Delhi-NCR,34,2,Good,NA,1,1,9,2,7,1,3,Increased,0,Talking,1,1,Colleagues,,,
R645,Outside Delhi-NCR,28,2,Excellent,NA,2,1,7,1,3,1,2,Decreased,0,Scrolling through social media,1,1,"Friends , relatives",,,
R646,Outside Delhi-NCR,17,0.75,Good,Smartphone,2,2,6,1,6,1,3,Increased,0,Exercise,1,1,School/college,,,
R647,Outside Delhi-NCR,18,0.75,Good,Smartphone,1,1,12,1,3,1,3,Increased,0,Exercise,1,1,School/college,,,
R648,Outside Delhi-NCR,17,0.75,Good,Smartphone,2,1,12,1,6,1,3,Increased,0,Exercise,1,1,School/college,,,
R649,Delhi-NCR,30,4,Excellent,Laptop/Desktop,4,0,5,6,7,1,2,Remain Constant,0,Watching web series,1,1,Roaming around freely,,,
R650,Delhi-NCR,19,4,Average,Laptop/Desktop,4,1,8,0,5,0,2,Increased,0,Online gaming,0,0,Roaming around freely,,,
R651,Delhi-NCR,21,0,Very poor,Smartphone,2,0,10,2,6,0,3,Remain Constant,0,Watching web series,0,0,Roaming around freely,,,
R652,Outside Delhi-NCR,20,4,Good,Laptop/Desktop,6,0,8,3,3,0,3,Increased,0,Online gaming,1,1,Travelling,,,
R653,Delhi-NCR,19,5,Very poor,Smartphone,1,1,5,2,5,4,3,Increased,0,Listening to music,0,1,School/college,,,
R654,Delhi-NCR,19,3,Very poor,Laptop/Desktop,2,1,8,3,5,0,3,Remain Constant,0,Dancing,0,1,School/college,,,
R655,Delhi-NCR,19,0,Very poor,Smartphone,0,0,12,4,5,6,3,Decreased,0,Watching web series,0,0,Travelling,,,
R656,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,2,1,7,1,Quora,0,3,Decreased,1,Exercising,0,1,Roaming around freely,,,
R657,Delhi-NCR,19,4,Very poor,Smartphone,5,0,6,2,7,0,3,Increased,0,Reading books,1,1,School/college,,,
R658,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,3,0,8,4,5,2,4,Increased,1,Meditation,0,0,Travelling,,,
R659,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,2,1,9,1,6,0,2,Decreased,1,Listening to music,1,1,Travelling,,,
R660,Delhi-NCR,21,6,Very poor,Smartphone,4,1,7,2,7,0,4,Increased,0,Scrolling through social media,0,0,"Friends , relatives",,,
R661,Delhi-NCR,20,4,Very poor,Smartphone,3,0,8,3,5,0,3,Remain Constant,0,Online gaming,0,0,Travelling,,,
R662,Delhi-NCR,20,4,Very poor,Laptop/Desktop,4,1,7,1,6,2,4,Remain Constant,0,Sleeping,0,1,"Friends , relatives",,,
R663,Delhi-NCR,20,5,Average,Laptop/Desktop,0.5,0,8,1,7,0.5,3,Remain Constant,0,Scrolling through social media,0,1,School/college,,,
R664,Delhi-NCR,20,5,Very poor,Smartphone,2,1,7,1,5,0,5,Increased,0,Cardio,1,1,Roaming around freely,,,
R665,Outside Delhi-NCR,22,6,Average,Smartphone,2,1,11,6,6,2,4,Increased,1,Watching web series,0,0,"Friends , relatives",,,
R666,Delhi-NCR,22,3,Very poor,Laptop/Desktop,2,0,9,4,6,1,4,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R667,Delhi-NCR,21,1,Average,Smartphone,1,2,8,2,6,0.5,3,Decreased,0,Online gaming,0,1,Roaming around freely,,,
R668,Delhi-NCR,30,2,Very poor,Laptop/Desktop,1,1,5,1,5,0,3,Remain Constant,0,Talking to your relatives,1,1,Roaming around freely,,,
R669,Delhi-NCR,21,2,Very poor,Laptop/Desktop,2,0,6,3,7,0,3,Remain Constant,0,Online surfing,0,0,"Friends , relatives",,,
R670,Delhi-NCR,22,3,Average,Laptop/Desktop,3,1,8,3,6,0,2,Decreased,0,Dancing,1,0,"Friends , relatives",,,
R671,Outside Delhi-NCR,21,4,Good,Smartphone,3,1,8,3,6,3,3,Increased,0,Online gaming,1,1,Colleagues,,,
R672,Outside Delhi-NCR,21,5,Very poor,Smartphone,1,0.5,9,1.5,6,0,3,Remain Constant,0,Scrolling through social media,0,0,Roaming around freely,,,
R673,Outside Delhi-NCR,19,5,Good,Laptop/Desktop,3,0,9,5,7,1,3,Remain Constant,0,Online gaming,1,1,Travelling,,,
R674,Delhi-NCR,22,1,Very poor,Laptop/Desktop,2,1,9,1.5,7,0.5,3,Remain Constant,1,Watching web series,0,0,"Friends , relatives",,,
R675,Delhi-NCR,20,6,Average,Laptop/Desktop,2,1,8,4,6,0,2,Remain Constant,0,Online gaming,0,0,Roaming around freely,,,
R676,Delhi-NCR,21,3,Excellent,Laptop/Desktop,6.5,0,7,0.5,7,0,3,Remain Constant,0,Listening to music,1,0,Roaming around freely,,,
R678,Outside Delhi-NCR,21,3,Average,Laptop/Desktop,2,1,7,2,5,1,3,Decreased,0,Online surfing,1,1,Travelling,,,
R679,Outside Delhi-NCR,21,0,Very poor,Laptop/Desktop,4,1,8,1,1,0,4,Remain Constant,0,Scrolling through social media,1,0,Roaming around freely,,,
R680,Outside Delhi-NCR,21,5,Good,Laptop/Desktop,4,2,8,1,6,0,4,Decreased,1,Cooking,0,0,Travelling,,,
R681,Delhi-NCR,22,0,Very poor,Smartphone,0.5,1,10,1,5,0,3,Increased,0,Online gaming,0,1,Eating outside,,,
R682,Delhi-NCR,20,0,Very poor,Laptop/Desktop,0,0,10,10,6,0,3,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R683,Delhi-NCR,20,3,Good,Laptop/Desktop,3,1,7,2,6,1,2,Remain Constant,0,Online gaming,1,1,School/college,,,
R684,Delhi-NCR,18,2,Average,Smartphone,1,1,10,4,5,1,4,Increased,0,Online gaming,0,0,Eating outside,,,
R685,Delhi-NCR,19,0,Average,Laptop/Desktop,3,1,9,2,6,0,2,Remain Constant,0,Online gaming,0,0,Eating outside,,,
R686,Delhi-NCR,21,3,Average,Laptop/Desktop,4,1,7,1,5,2,4,Decreased,0,Meditation,0,1,"Friends , relatives",,,
R687,Outside Delhi-NCR,19,4,Poor,Laptop/Desktop,5,2,7,0.5,7,0,4,Remain Constant,1,Listening to music,1,1,School/college,,,
R688,Outside Delhi-NCR,22,3,Very poor,Laptop/Desktop,3,0,7,4,5,0,3,Increased,0,Listening to music,0,0,"Friends , relatives",,,
R689,Delhi-NCR,21,7,Very poor,Laptop/Desktop,0,0,8,3,6,0,3,Remain Constant,0,Online surfing,1,0,Eating outside,,,
R690,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,2,2,9,2,6,0.5,3,Decreased,0,Listening to music,1,1,School/college,,,
R691,Delhi-NCR,20,4,Very poor,Smartphone,2,1,6,2,6,1,3,Increased,0,I cant de-stress myslef,1,1,all,,,
R692,Delhi-NCR,21,4,Good,Smartphone,2,1,7,3,6,0,3,Remain Constant,0,Listening to music,1,1,School/college,,,
R693,Delhi-NCR,23,3,Very poor,Laptop/Desktop,6,1,7,1.5,6,0.5,3,Increased,1,working out and some physical activity,1,1,School/college,,,
R694,Delhi-NCR,22,0,Very poor,Laptop/Desktop,1,0,14,2,7,2,3,Increased,0,Sleeping,0,0,Roaming around freely,,,
R695,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,1,2,12,2,7,2,3,Remain Constant,0,Listening to music,1,1,ALL,,,
R696,Delhi-NCR,20,6,Very poor,Laptop/Desktop,6,1,8,0,1,1,3,Decreased,0,Online surfing,0,1,0thing,,,
R697,Delhi-NCR,21,3,Average,Laptop/Desktop,3,0,9,2,1,0,8,Increased,0,Watching web series,1,1,Roaming around freely,,,
R698,Delhi-NCR,19,1,Average,Laptop/Desktop,3,0,10,4,6,0,3,Decreased,0,Online surfing,0,0,Roaming around freely,,,
R699,Delhi-NCR,22,0,Average,Laptop/Desktop,6,1,6,1,5,2,3,Remain Constant,0,Online gaming,1,1,Gym,,,
R700,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,5,1,7,1,7,0,3,Increased,1,Watching web series,0,0,Roaming around freely,,,
R701,Outside Delhi-NCR,19,1,Average,Laptop/Desktop,2,1,7,3,6,0,3,Remain Constant,0,Reading books,0,1,"Friends , relatives",,,
R702,Delhi-NCR,22,2,Good,Laptop/Desktop,10,1,6,1,7,0,6,Increased,0,Listening to music,1,1,Travelling,,,
R703,Delhi-NCR,19,2,Very poor,Laptop/Desktop,1,2,5,4,6,1,2,Decreased,0,Listening to music,1,1,"Friends , relatives",,,
R704,Delhi-NCR,18,3,Average,Smartphone,1,1,9,4,6,0.5,4,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R705,Delhi-NCR,20,2,Average,Laptop/Desktop,2,1,9,1,5,1,3,Remain Constant,0,Listening to music,1,0,Roaming around freely,,,
R706,Delhi-NCR,19,2,Very poor,Laptop/Desktop,2,0,12,2,7,0,2,Decreased,0,Listening to music,1,1,School/college,,,
R707,Delhi-NCR,23,2,Average,Smartphone,5,1,12,1,1,0,3,Remain Constant,1,Listening to music,1,0,School/college,,,
R708,Delhi-NCR,19,0,Average,Smartphone,1,0,8,4,5,3,3,Increased,0,Online gaming,0,1,Roaming around freely,,,
R709,Delhi-NCR,18,0,NA,NA,1,1,10,9,6,2,3,Remain Constant,0,Listening to music,1,1,Travelling,,,
R710,Outside Delhi-NCR,19,2,Good,Laptop/Desktop,3,1,8,2,5,1,3,Remain Constant,1,Reading,1,1,School/college,,,
R711,Delhi-NCR,17,7,Very poor,Laptop/Desktop,3,2,6,2,6,0,4,Remain Constant,0,Sleeping,1,0,Eating outside,,,
R712,Delhi-NCR,18,7,Average,Laptop/Desktop,2,1,8,3,7,1,3,Decreased,0,Watching web series,1,1,"Friends , relatives",,,
R713,Delhi-NCR,22,2,Good,Any Gadget,1.5,1,7,1,5,2,3,Increased,0,Web Series,0,0,Travelling,,,
R714,Delhi-NCR,21,4,Average,Laptop/Desktop,4,0,7,2,7,1,3,Increased,0,Watching web series,1,1,"Friends , relatives",,,
R715,Delhi-NCR,17,3,Average,Laptop/Desktop,2,0,6,2,6,0,3,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R716,Delhi-NCR,19,0,Good,Tablet,0.5,1,6,2,6,1,4,Increased,0,Web Series,0,1,School/college,,,
R717,Delhi-NCR,20,5,Very poor,Smartphone,2,2,6,3,5,2,2,Decreased,0,Reading books,0,0,Roaming around freely,,,
R718,Delhi-NCR,17,4,Very poor,Smartphone,1,0,6,2,6,0,3,Increased,0,Listening to music,0,0,"Friends , relatives",,,
R719,Delhi-NCR,21,3,Very poor,Laptop/Desktop,3,1,8,3,6,2,2,Increased,0,Listening to music,0,0,"Friends , relatives",,,
R720,Delhi-NCR,19,2,Average,Smartphone,2,0,9,5,6,1,2,Remain Constant,0,Sleeping,0,0,School/college,,,
R721,Delhi-NCR,20,1.5,Very poor,Smartphone,2.5,2,9,1,5,1.5,2,Decreased,1,Listening to music,0,1,Travelling,,,
R722,Delhi-NCR,21,3,Very poor,Laptop/Desktop,3,0,9,4,8,0.75,4,Increased,0,Sleeping,0,0,School/college,,,
R723,Outside Delhi-NCR,19,2,Average,Laptop/Desktop,4,1,6,3,6,1,4,Increased,0,Scrolling through social media,0,1,"Friends , relatives",,,
R724,Delhi-NCR,38,4,Excellent,Laptop/Desktop,5,1,6,1,5,2,3,Increased,0,Online gaming,1,1,Roaming around freely,,,
R725,Delhi-NCR,19,3,Average,Smartphone,7,1,6,1,1,1,4,Increased,0,Talking to your relatives,1,1,School/college,,,
R726,Delhi-NCR,17,2,Average,Laptop/Desktop,0,0,11,1.5,6,2,4,Remain Constant,0,Talking to your relatives,0,1,Eating outside,,,
R727,Outside Delhi-NCR,18,3,Good,Laptop/Desktop,3,0,10,2,6,0,2,Increased,0,Listening to music,0,1,Colleagues,,,
R728,Delhi-NCR,20,5,Very poor,Laptop/Desktop,2,3,10,1,5,0.5,2,Decreased,1,Writing my own Comics & 0vels,1,1,Playing,,,
R729,Delhi-NCR,20,2,Very poor,Smartphone,6,1,5,4,5,0.5,1,Increased,1,Listening to music,1,1,Travelling,,,
R730,Delhi-NCR,23,0,Average,Laptop/Desktop,1,1,9,3,1,0,3,Increased,0,Listening to music,1,1,Travelling,,,
R731,Outside Delhi-NCR,29,2,Average,Laptop/Desktop,2,1,8,0,5,0,2,Remain Constant,0,Reading books,0,1,0thing,,,
R732,Delhi-NCR,20,0,Very poor,Laptop/Desktop,6,0,9,1,7,1,3,Increased,0,Sleeping,0,0,Travelling,,,
R733,Outside Delhi-NCR,22,1,Very poor,Smartphone,4,0.25,10,1,1,0,3,Remain Constant,0,Sleeping,0,1,.,,,
R734,Delhi-NCR,18,2,Average,Laptop/Desktop,3,1,8,2,5,3,3,Increased,0,Online surfing,1,1,School/college,,,
R735,Delhi-NCR,15,4,Good,Smartphone,4,1,4,3,5,2,3,Remain Constant,0,Sleeping,1,1,Colleagues,,,
R736,Delhi-NCR,19,4,Average,Smartphone,5,1,8,2,5,1,3,Remain Constant,0,Meditation,1,1,Travelling,,,
R737,Delhi-NCR,20,2,Very poor,Smartphone,2,0,9,10,5,1,2,Decreased,0,Online gaming,1,1,0thing,,,
R738,Outside Delhi-NCR,21,1,Very poor,Smartphone,4,1,9,1,7,1,3,Remain Constant,0,Watching web series,1,0,Eating outside,,,
R739,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,3,0,8,2,5,1,3,Decreased,0,Online gaming,1,1,Roaming around freely,,,
R740,Delhi-NCR,20,4,Very poor,Smartphone,1,1,10,2,6,1,3,Increased,1,Dancing,0,1,Eating outside,,,
R741,Delhi-NCR,20,2,Average,Smartphone,1,2,8,4,3,2,4,Decreased,0,Reading books,0,1,Travelling,,,
R742,Outside Delhi-NCR,19,0,Very poor,Smartphone,2,1,7,4,6,0,2,Remain Constant,0,Meditation,0,1,Travelling,,,
R743,Outside Delhi-NCR,28,3,Good,Laptop/Desktop,1,0,10,1,7,0,2,Increased,0,Online gaming,0,1,Eating outside,,,
R744,Delhi-NCR,19,6,Good,Laptop/Desktop,6,0,8,2,5,0.5,2,Increased,0,Listening to music,1,0,Travelling,,,
R745,Delhi-NCR,21,2,Average,Smartphone,2,1,8,1,5,0,3,Remain Constant,0,Sleeping,0,0,"Friends , relatives",,,
R746,Delhi-NCR,23,0,Good,Laptop/Desktop,3,0,10,4,5,1,3,Increased,0,Online gaming,0,1,Eating outside,,,
R747,Delhi-NCR,20,3,Good,Laptop/Desktop,2,1,7,5,7,2,3,Remain Constant,0,Reading,0,1,School/college,,,
R748,Delhi-NCR,22,4,Good,Laptop/Desktop,2,1,12,2,6,2,3,Remain Constant,0,Talking,0,1,School/college,,,
R749,Delhi-NCR,20,2,Average,Smartphone,4,1,8,2,5,0,3,Increased,0,Listening to music,1,1,School/college,,,
R750,Outside Delhi-NCR,22,0,NA,NA,0,1,5,4,6,0,2,Decreased,0,Watching web series,0,1,Travelling,,,
R751,Outside Delhi-NCR,20,5,Good,Laptop/Desktop,4,1,7,3,5,1,3,Increased,0,Reading,1,1,Travelling,,,
R752,Outside Delhi-NCR,23,3,Good,Laptop/Desktop,2,1,6,1,7,0,2,Remain Constant,0,Reading,1,1,Eating outside,,,
R753,Outside Delhi-NCR,21,2,Very poor,Smartphone,2,1,8,4,7,1,4,Increased,0,Scrolling through social media,0,1,Travelling,,,
R754,Delhi-NCR,19,3,Very poor,Smartphone,2,1,9,5,6,1,3,Remain Constant,0,Listening to music,0,0,"Friends , relatives",,,
R755,Outside Delhi-NCR,23,3,Good,Laptop/Desktop,5,0,6,1,5,0,2,Remain Constant,0,Web Series,0,1,School/college,,,
R756,Outside Delhi-NCR,20,4,Average,Smartphone,2,0,8,2,7,4,3,Remain Constant,0,Sleeping,1,1,"Friends , relatives",,,
R757,Outside Delhi-NCR,22,2,Good,Laptop/Desktop,2,1,8,2,7,0,4,Increased,0,Web Series,1,1,Travelling,,,
R758,Delhi-NCR,19,2,Poor,Smartphone,2,2,8,3,5,0,4,Decreased,1,Gym,1,0,Roaming around freely,,,
R759,Outside Delhi-NCR,21,5,Very poor,Smartphone,4,1,7,1,5,0,3,Remain Constant,0,Meditation,1,1,"Friends , relatives",,,
R760,Outside Delhi-NCR,20,0,Very poor,Smartphone,5,0,8,1,5, ,3,Decreased,1,I have 0 problem of stress ,0,1,I have missed 0thing ,,,
R761,Outside Delhi-NCR,21,1,Very poor,Laptop/Desktop,5,1,11,2,6,0,3,Increased,0,workout,0,1,Eating outside,,,
R762,Delhi-NCR,22,5,Good,Laptop/Desktop,3,0,7,2,7,0,3,Remain Constant,0,Sleeping,1,1,Travelling,,,
R763,Delhi-NCR,18,4,Good,Smartphone,2,0.5,6,2,7,0,4,Remain Constant,0,Online gaming,1,0,School/college,,,
R764,Delhi-NCR,21,1,Good,Laptop/Desktop,1,2,7,2,5,0,3,Remain Constant,0,Listening to music,1,1,Colleagues,,,
R765,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,5,0.3,8,1,1,1,3,Increased,1,Listening to music,0,0,Roaming around freely,,,
R766,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,3,1,9,3,6,1,2,Increased,0,Meditation,0,1,"Friends , relatives",,,
R767,Delhi-NCR,19,6,Very poor,Smartphone,4,2,6,2,6,0,4,Decreased,1,Online gaming,1,1,"Friends , relatives",,,
R768,Delhi-NCR,21,0.5,Very poor,Smartphone,2,1,9,1,5,0,3,Increased,0,Reading books,0,1,Travelling,,,
R769,Delhi-NCR,21,1,Very poor,Laptop/Desktop,0,0,9,3,7,0,3,Remain Constant,0,Watching web series,0,0,School/college,,,
R770,Delhi-NCR,19,4,Very poor,Smartphone,2,1,9,7,6,3,3,Increased,0,Sleeping,0,1,School/college,,,
R771,Outside Delhi-NCR,21,2,Very poor,Smartphone,2,0,8,1,2,0,3,Increased,1,Reading books,0,1,School/college,,,
R772,Outside Delhi-NCR,23,5.5,Excellent,Laptop/Desktop,3,1,8,1,7,0,2,Decreased,0,Watching web series,1,1,School/college,,,
R773,Delhi-NCR,21,0,Very poor,Smartphone,0,0,9,4,5,0,4,Increased,0,Watching web series,0,0,Eating outside,,,
R774,Delhi-NCR,40,6,Average,Laptop/Desktop,3,0,7,2,7,2,3,Remain Constant,0,0 able to reduce the stress ,0,1,Travelling,,,
R775,Delhi-NCR,20,4,Good,Laptop/Desktop,1,0,9,2,6,0,3,Increased,0,Social Media,0,1,School/college,,,
R776,Outside Delhi-NCR,40,5,Excellent,Laptop/Desktop,4,0.5,6,1,7,2,2,Remain Constant,0,Talking to your relatives,1,1,Travelling,,,
R777,Delhi-NCR,19,3,Average,Smartphone,1,1,6,2,6,0,3,Decreased,0,Watching web series,1,1,School/college,,,
R778,Outside Delhi-NCR,18,2,Very poor,Laptop/Desktop,4,0,8,1.5,6,0,2,Remain Constant,0,Watching web series,0,0,School/college,,,
R779,Delhi-NCR,23,3,Average,Laptop/Desktop,2,1,6,3,2,2,4,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R780,Outside Delhi-NCR,21,7,Average,Laptop/Desktop,8,0,6,1,1,1,4,Increased,0,Listening to music,0,1,"Friends , relatives",,,
R781,Outside Delhi-NCR,12,5,Average,Smartphone,2,1,7,0,0,1,4,Remain Constant,0,Cooking,1,1,"Friends , relatives",,,
R782,Outside Delhi-NCR,20,0.5,Very poor,Smartphone,1,1,8,0.5,7,2.5,3,Remain Constant,0,"Sleeping, Online games",0,1,All,,,
R783,Delhi-NCR,22,0,NA,NA,2,1,8,2,6,2,3,Remain Constant,0,Dancing,1,1,School/college,,,
R784,Outside Delhi-NCR,30,4,Average,Laptop/Desktop,3,1,7.8,4,7,2,3,Increased,0,Watching web series,0,0,Roaming around freely,,,
R785,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,1,1,8,2,6,2,4,Remain Constant,0,Watching web series,1,1,"Friends , relatives",,,
R786,Delhi-NCR,20,1,Very poor,Laptop/Desktop,0,0,8,4,7,0,4,Increased,0,Listening to music,0,1,"Friends , relatives",,,
R787,Delhi-NCR,22,3,Average,Laptop/Desktop,5,0,8,2,6,0,2,Remain Constant,1,Listening to music,1,1,"Friends , relatives",,,
R788,Delhi-NCR,40,1,Excellent,Laptop/Desktop,2,1,6.7,1,7,1,2,Remain Constant,0,Online surfing,1,1,"Friends , relatives",,,
R789,Outside Delhi-NCR,24,5,Excellent,Laptop/Desktop,3,3,8,2,7,2,3,Remain Constant,0,By engaging in my work.,1,1,ALL,,,
R790,Outside Delhi-NCR,18,4,Very poor,Smartphone,1,2,9,2,7,0.5,2,Decreased,0,Listening to music,0,1,Roaming around freely,,,
